genres,movie_id,budget,title,popularity,release_date,revenue,ROI,Director
Drama,1947,30000000,An Unfinished Life,7.761954,9/9/2005,18618284.0,-37.939053333333334,Lasse Hallström
Crime,8643,19000000,The Exorcism of Emily Rose,10.966015,9/9/2005,144216468.0,659.0340421052631,Scott Derrickson
Drama,8643,19000000,The Exorcism of Emily Rose,10.966015,9/9/2005,144216468.0,659.0340421052631,Scott Derrickson
Horror,8643,19000000,The Exorcism of Emily Rose,10.966015,9/9/2005,144216468.0,659.0340421052631,Scott Derrickson
Thriller,8643,19000000,The Exorcism of Emily Rose,10.966015,9/9/2005,144216468.0,659.0340421052631,Scott Derrickson
Thriller,9315,55000000,Flightplan,12.419851,9/22/2005,223387299.0,306.15872545454545,Robert Schwentke
Drama,9315,55000000,Flightplan,12.419851,9/22/2005,223387299.0,306.15872545454545,Robert Schwentke
Mystery,9315,55000000,Flightplan,12.419851,9/22/2005,223387299.0,306.15872545454545,Robert Schwentke
Romance,3933,40000000,Corpse Bride,12.920032,9/9/2005,117195061.0,192.9876525,Tim Burton
Fantasy,3933,40000000,Corpse Bride,12.920032,9/9/2005,117195061.0,192.9876525,Tim Burton
Animation,3933,40000000,Corpse Bride,12.920032,9/9/2005,117195061.0,192.9876525,Tim Burton
Music,3933,40000000,Corpse Bride,12.920032,9/9/2005,117195061.0,192.9876525,Tim Burton
Drama,59,32000000,A History of Violence,11.119707,9/23/2005,60740827.0,89.815084375,David Cronenberg
Thriller,59,32000000,A History of Violence,11.119707,9/23/2005,60740827.0,89.815084375,David Cronenberg
Crime,59,32000000,A History of Violence,11.119707,9/23/2005,60740827.0,89.815084375,David Cronenberg
Crime,257,50000000,Oliver Twist,12.369935,9/23/2005,42093706.0,-15.812588,Roman Polanski
Drama,257,50000000,Oliver Twist,12.369935,9/23/2005,42093706.0,-15.812588,Roman Polanski
Family,257,50000000,Oliver Twist,12.369935,9/23/2005,42093706.0,-15.812588,Roman Polanski
